epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.379,1.13583,2.24377,1.41416,0.55963,0.58305,0.56621,0.355,1.37897,2.06241,1.50152,0.000475134,0.000475134,0.000475134
2,350.045,1.20726,1.73797,1.46835,0.6195,0.59984,0.617,0.38833,1.4382,1.80601,1.59308,0.000920068,0.000920068,0.000920068
3,558.277,1.21802,1.66831,1.47396,0.60613,0.52764,0.56862,0.33849,1.49797,1.8137,1.65443,0.00133357,0.00133357,0.00133357
4,767.166,1.21019,1.59558,1.4644,0.51314,0.48963,0.4703,0.28653,1.43897,2.15592,1.60875,0.00128753,0.00128753,0.00128753
5,977.286,1.16056,1.51599,1.42705,0.66175,0.63127,0.68174,0.4412,1.32429,1.47122,1.46108,0.00124037,0.00124037,0.00124037
6,1207.17,1.13545,1.45654,1.40762,0.68831,0.65748,0.71743,0.46,1.32287,1.40895,1.4351,0.00119322,0.00119322,0.00119322
7,1417.47,1.09837,1.37578,1.3831,0.71297,0.66457,0.73246,0.49427,1.22128,1.34965,1.38445,0.00114606,0.00114606,0.00114606
8,1635.77,1.06408,1.33156,1.35803,0.69407,0.67859,0.72687,0.4855,1.23649,1.3687,1.39003,0.0010989,0.0010989,0.0010989
9,1850.24,1.04726,1.28642,1.34017,0.7586,0.67665,0.76531,0.52099,1.20618,1.23837,1.33963,0.00105174,0.00105174,0.00105174
10,2058.82,1.02316,1.24907,1.3235,0.76304,0.69858,0.77863,0.53529,1.17744,1.19173,1.31973,0.00100459,0.00100459,0.00100459
11,2263.94,1.00733,1.22746,1.31768,0.75766,0.71718,0.79429,0.55098,1.15961,1.17163,1.30399,0.00095743,0.00095743,0.00095743
12,2476.03,0.99789,1.18907,1.3066,0.76569,0.70121,0.77774,0.53922,1.17069,1.1281,1.31904,0.000910273,0.000910273,0.000910273
13,2646.85,0.98018,1.15943,1.29314,0.74561,0.72201,0.78887,0.55943,1.13476,1.13294,1.2869,0.000863116,0.000863116,0.000863116
14,2792.88,0.97017,1.144,1.28695,0.73418,0.72679,0.78772,0.55673,1.11343,1.11145,1.27208,0.000815959,0.000815959,0.000815959
15,2938.89,0.94881,1.12349,1.27575,0.81124,0.73504,0.82976,0.59777,1.09321,1.02958,1.25383,0.000768802,0.000768802,0.000768802
16,3093.68,0.94844,1.09695,1.27493,0.73105,0.72634,0.78002,0.54941,1.10161,1.08966,1.26408,0.000721645,0.000721645,0.000721645
17,3250.3,0.93128,1.07523,1.25784,0.83486,0.74548,0.84233,0.60586,1.08335,0.96507,1.23847,0.000674488,0.000674488,0.000674488
18,3405.45,0.9223,1.0499,1.25061,0.81305,0.76165,0.84311,0.61228,1.05629,0.95689,1.20435,0.000627331,0.000627331,0.000627331
19,3561.74,0.92012,1.02975,1.25294,0.81375,0.76458,0.84769,0.62158,1.03372,0.93896,1.19858,0.000580174,0.000580174,0.000580174
20,3715.27,0.90387,1.01655,1.2399,0.81702,0.76928,0.84338,0.6224,1.04161,0.92269,1.2059,0.000533017,0.000533017,0.000533017
21,3857.63,0.90458,0.89389,1.25261,0.82382,0.76597,0.8458,0.62229,1.03611,0.91824,1.20072,0.00048586,0.00048586,0.00048586
22,4005.38,0.87845,0.85169,1.2388,0.82619,0.75514,0.8486,0.62872,1.0065,0.90648,1.18267,0.000438703,0.000438703,0.000438703
23,4151.99,0.86404,0.82997,1.22342,0.83837,0.78209,0.8636,0.64442,0.9864,0.86521,1.16324,0.000391546,0.000391546,0.000391546
24,4302.37,0.8537,0.8089,1.21877,0.85037,0.78065,0.86385,0.64958,0.98553,0.85468,1.16028,0.000344389,0.000344389,0.000344389
25,4442.78,0.83221,0.78223,1.20241,0.84127,0.78809,0.86868,0.65419,0.97325,0.8361,1.14797,0.000297232,0.000297232,0.000297232
26,4579.11,0.82066,0.75245,1.19812,0.86513,0.78796,0.87404,0.66237,0.96606,0.8144,1.14267,0.000250075,0.000250075,0.000250075
27,4713.94,0.8051,0.72937,1.17888,0.85944,0.79679,0.87742,0.66932,0.9517,0.79879,1.13128,0.000202918,0.000202918,0.000202918
28,4850.6,0.79089,0.71173,1.17426,0.85876,0.80328,0.87996,0.67316,0.9485,0.79157,1.12727,0.000155761,0.000155761,0.000155761
29,4986.53,0.77854,0.69163,1.16125,0.85802,0.80702,0.88094,0.67524,0.93768,0.78719,1.11936,0.000108604,0.000108604,0.000108604
30,5123.72,0.76621,0.67915,1.15979,0.86502,0.80928,0.88386,0.67913,0.93552,0.77109,1.11917,6.1447e-05,6.1447e-05,6.1447e-05
